,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6,Predicted_7,Predicted_8,Predicted_9,Predicted_10,Predicted_11
Actual_0,9,0,0,0,0,0,2,0,1,1,0,0
Actual_1,0,13,0,0,0,1,5,0,8,3,2,3
Actual_2,1,2,4,0,2,0,2,0,2,11,5,0
Actual_3,0,1,0,0,0,0,3,0,4,1,0,0
Actual_4,3,1,0,0,13,0,2,0,0,2,2,2
Actual_5,0,3,1,0,1,3,0,0,4,5,0,0
Actual_6,2,1,0,0,0,0,115,0,4,1,3,0
Actual_7,1,0,0,0,1,0,0,0,4,1,0,0
Actual_8,1,2,0,0,1,0,5,0,19,4,5,1
Actual_9,1,2,3,0,2,0,5,0,4,33,2,1
Actual_10,0,0,0,0,0,0,5,0,5,4,13,0
Actual_11,0,1,0,0,3,0,1,0,2,6,1,4
