Fold,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
binary_32_0.005_50_fold_1,0.5,0.0,1.0,0.0,0.7046979865771812,0.3523489932885906,0.0,0.8267716535433071,0.41338582677165353,0.5,0.0,1.0,0.2953020134228188,0.0,0.0
binary_32_0.005_50_fold_2,0.5,0.0,1.0,0.0,0.7046979865771812,0.3523489932885906,0.0,0.8267716535433071,0.41338582677165353,0.5,0.0,1.0,0.2953020134228188,0.0,0.0
binary_32_0.005_50_fold_3,0.5699507389162561,0.14942528735632185,0.9904761904761905,0.8666666666666667,0.7375886524822695,0.8021276595744681,0.25490196078431376,0.8455284552845529,0.5502152080344334,0.5699507389162561,0.13333333333333333,0.8505747126436781,0.2624113475177305,0.009523809523809525,0.14606741573033707
