Fold,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
binary_32_0.001_50_fold_1,0.5,0.0,1.0,0.0,0.7046979865771812,0.3523489932885906,0.0,0.8267716535433071,0.41338582677165353,0.5,0.0,1.0,0.2953020134228188,0.0,0.0
binary_32_0.001_50_fold_2,0.4976190476190476,0.0,0.9952380952380953,0.0,0.7037037037037037,0.35185185185185186,0.0,0.824457593688363,0.4122287968441815,0.4976190476190476,1.0,1.0,0.2962962962962963,0.004761904761904762,0.0
binary_32_0.001_50_fold_3,0.5,0.0,1.0,0.0,0.7070707070707071,0.35353535353535354,0.0,0.8284023668639052,0.4142011834319526,0.5,0.0,1.0,0.29292929292929293,0.0,0.0
