Fold,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
binary_4layer_32_0.0001_50_fold_1,0.6514069264069264,0.3409090909090909,0.9619047619047619,0.7894736842105263,0.7769230769230769,0.7831983805668017,0.4761904761904762,0.8595744680851064,0.6678824721377913,0.6514069264069263,0.21052631578947367,0.6590909090909091,0.2230769230769231,0.0380952380952381,0.3125
binary_4layer_32_0.0001_50_fold_2,0.7124458874458874,0.4772727272727273,0.9476190476190476,0.7924528301886793,0.8122448979591836,0.8023488640739315,0.5957446808510639,0.8747252747252747,0.7352349777881693,0.7124458874458874,0.20754716981132076,0.5227272727272727,0.18775510204081633,0.05238095238095238,0.42424242424242425
binary_4layer_32_0.0001_50_fold_3,0.7433497536945812,0.5057471264367817,0.9809523809523809,0.9166666666666666,0.8273092369477911,0.8719879518072289,0.6518518518518518,0.8976034858387799,0.7747276688453159,0.7433497536945813,0.08333333333333333,0.4942528735632184,0.17269076305220885,0.01904761904761905,0.4835164835164835
